pay_method,order_hour_of_day,days_since_prior_order,Total_Price,total_barang,time_pickup_sec,time_service_sec
3,10,28,48.44,6,388,237
2,10,30,16.48,2,139,293
1,10,7,33.95,5,164,428
1,10,20,50.46,9,479,291
3,10,28,70.21,10,657,186
2,10,9,138.75,18,999,194
2,10,13,238.11,36,1749,172
3,10,1,23.82,3,364,186
2,10,5,41.92,7,402,188
3,10,26,131.39,18,860,260
1,10,30,10.47,2,161,326
2,10,19,76.6,13,687,160
1,10,28,111.25,20,993,250
3,10,9,86.77,13,729,207
2,10,30,42.42,6,353,213
1,10,7,186.18,28,1377,198
3,10,18,34.03,5,372,136
3,10,14,81.25,14,751,229
3,10,9,20.47,4,239,268
1,10,28,15.61,4,335,166
1,10,30,5.99,1,58,374
3,10,7,77.81,13,632,314
1,10,8,68.65,7,234,421
2,10,19,36.55,8,395,295
3,10,18,130.17,21,993,183
2,10,16,22.46,4,262,285
3,10,30,26.43,4,421,135
1,10,10,136.49,23,1114,189
1,10,20,82.97,3,269,176
1,10,30,43.61,7,468,161
3,10,6,103.28,17,860,139
2,10,30,29.25,5,323,223
3,10,8,45.56,6,454,133
2,10,2,34.92,5,343,209
1,10,30,154.85,24,1230,177
3,10,30,33.19,8,450,275
2,10,30,50.58,9,543,211
1,10,30,21.57,3,152,303
1,10,7,38.53,6,474,175
2,10,15,50.19,9,593,157
3,10,30,73.17,11,571,290
1,10,21,96.54,14,715,273
3,10,30,107.3,16,885,165
3,10,11,29.33,7,498,141
2,10,30,99.02,16,743,283
2,10,13,21.95,5,229,325
1,10,5,46.16,10,538,190
1,10,21,121.43,19,973,184
3,10,3,36.55,5,340,205
1,10,12,75.94,15,691,231
3,10,8,76.84,14,727,142
1,10,30,147.58,19,894,309
3,10,0,36.28,8,327,345
1,10,30,155.57,25,1154,355
3,10,13,39.64,7,440,201
1,10,6,46.9,7,331,337
1,10,12,110.89,17,778,276
3,10,12,69.09,10,591,229
1,10,8,16.58,2,240,196
1,10,7,84.61,15,852,130
1,10,30,329.53,38,1819,309
1,10,30,3.49,1,145,276
1,10,9,85.66,13,662,281
3,10,6,46.61,9,479,271
2,10,30,5.98,2,299,169
1,10,6,15.67,3,44,484
3,10,7,117.41,15,635,332
2,10,1,24.97,3,103,445
3,10,12,9.99,1,223,142
1,10,9,8.46,2,231,187
2,10,30,23.91,5,256,350
2,10,30,29.12,3,254,173
2,10,24,35.44,6,360,283
1,10,8,126.34,14,793,169
1,10,25,26.72,5,434,145
1,10,9,156.33,20,937,321
2,10,8,137.61,18,1003,131
3,10,14,119.88,6,357,288
3,10,4,58.7,11,531,284
3,10,17,87.69,16,802,314
2,10,30,40.84,6,405,241
3,10,16,8.18,2,276,161
3,10,14,111.92,17,815,204
3,10,16,22.33,4,361,180
3,10,5,48.98,9,538,188
2,10,30,31.96,4,360,129
1,10,3,11.98,2,219,227
3,10,10,38.9,5,363,124
3,10,30,132.32,20,1129,131
3,10,5,82.78,17,899,167
2,10,5,18.85,4,371,174
2,10,30,50.9,6,456,141
2,10,8,18.57,2,208,222
3,10,1,60.01,6,410,174
3,10,7,135.97,21,1056,212
2,10,9,29.59,4,150,331
3,10,7,100.02,13,690,234
2,10,30,95.3,14,733,198
1,10,28,26.54,5,432,142
1,10,23,113.97,16,838,206
2,10,19,16.73,3,305,159
1,10,13,58.25,10,507,245
2,10,4,26.53,6,375,287
2,10,6,41.7,7,197,496
1,10,30,100.35,14,756,154
3,10,15,96.6,20,904,230
2,10,9,102.33,16,810,191
3,10,17,53.78,9,484,260
1,10,14,32.12,8,497,164
1,10,5,41.95,5,373,162
1,10,13,57.85,9,567,217
3,10,30,18.55,3,115,383
3,10,7,70.06,10,441,330
1,10,30,63.47,12,676,144
2,10,6,8.18,2,239,166
3,10,3,86.55,12,637,143
3,10,4,107.96,17,956,139
3,10,7,106.15,15,880,183
3,10,30,46.09,8,560,151
1,10,30,106.88,19,953,220
1,10,4,17.89,3,286,164
1,10,1,61.47,11,603,138
3,10,11,168.97,24,1193,210
2,10,30,316.84,27,1384,137
3,10,30,17.57,3,313,163
3,10,7,11.18,2,243,170
3,10,9,91.9,17,969,143
1,10,30,20.06,4,193,312
2,10,30,7.99,1,156,212
2,10,21,30.76,5,431,140
1,10,9,108.62,13,706,169
3,10,10,62.71,8,545,204
3,10,30,99.55,14,659,385
2,10,5,24.74,4,313,204
3,10,30,79.22,13,744,162
1,10,4,123.92,16,882,265
1,10,20,68.7,11,691,152
1,10,30,92.3,11,698,147
2,10,2,25.02,5,263,243
2,10,30,48.13,7,292,343
3,10,30,110.56,19,1070,167
2,10,25,45.24,5,205,307
2,10,30,60.14,12,690,148
3,10,1,9.75,2,213,215
2,10,30,4.46,1,193,155
1,10,3,66.82,8,497,158
1,10,15,237.13,34,1730,206
2,10,0,44.39,8,468,187
3,10,30,165.93,26,1135,354
3,10,30,46.76,6,329,289
1,10,7,96.64,16,597,503
3,10,8,44.62,8,427,261
2,10,20,120.19,18,754,382
1,10,6,42.48,9,513,211
2,10,30,37.3,5,391,162
1,10,5,337.03,39,1891,199
2,10,15,33.62,6,443,131
3,10,30,12.07,3,265,226
1,10,5,19.99,5,351,268
1,10,8,104.81,15,885,206
1,10,2,66.13,8,393,318
2,10,6,46.76,9,607,168
2,10,30,22.06,4,262,290
1,10,16,16.16,3,225,264
3,10,30,11.83,2,206,242
3,10,30,7.99,1,155,247
2,10,7,40.12,5,326,242
3,10,7,71.97,10,587,218
3,10,7,33.92,5,296,235
3,10,25,28.2,5,302,260
3,10,30,38.69,9,477,263
3,10,11,164.71,27,1314,138
1,10,14,26.3,4,319,140
3,10,5,72.38,9,575,156
3,10,10,20.66,4,330,173
1,10,10,277.84,52,2207,257
2,10,29,53.19,7,437,190
1,10,30,103.68,12,636,228
3,10,7,147.37,25,1129,246
1,10,5,55.84,10,593,158
1,10,30,91.43,13,605,298
2,10,5,48.29,7,472,164
1,10,30,56.03,9,515,180
1,10,8,21.55,3,237,238
2,10,24,80.46,13,809,185
1,10,30,124.43,16,917,144
2,10,30,15.98,2,73,362
1,10,6,41.64,8,458,204
2,10,14,96.53,17,891,133
1,10,21,41.96,4,374,171
3,10,7,96.11,15,783,164
2,10,30,50.88,9,539,171
1,10,4,31.99,6,252,337
2,10,14,39.94,5,402,151
1,10,30,48.62,7,420,226
2,10,30,33.75,6,189,452
1,10,14,157.18,24,1370,154
2,10,30,64.68,9,375,378
1,10,11,19.57,3,197,273
3,10,26,16.88,3,220,223
3,10,4,38.22,8,549,146
1,10,30,206.59,37,1809,171
1,10,13,64.84,9,507,221
3,10,30,48.74,9,692,144
1,10,30,49.89,8,512,155
3,10,30,58.21,8,405,268
3,10,3,74.04,11,652,196
3,10,30,44.02,6,412,187
1,10,30,132.18,18,935,286
2,10,30,58.65,8,500,198
1,10,30,71.89,10,656,178
1,10,30,141.2,18,893,323
3,10,2,143.76,20,1029,153
3,10,7,50.2,8,474,210
3,10,19,69.44,13,671,138
2,10,7,31.96,4,270,223
1,10,21,15.04,3,276,206
3,10,11,95.24,14,750,194
1,10,5,16.42,4,304,164
3,10,6,123.71,20,915,260
3,10,21,83.58,15,840,238
3,10,23,28.62,4,274,277
2,10,30,173.21,24,1066,420
3,10,7,161.98,22,1168,165
3,10,30,193.6,33,1605,192
3,10,28,32.97,3,261,195
2,10,27,64.44,10,605,208
2,10,1,4.29,1,214,182
3,10,30,9.78,2,265,182
3,10,30,13.97,2,273,172
1,10,7,20.4,3,202,282
3,10,30,29.43,7,472,266
1,10,7,113.95,18,999,186
3,10,3,64.07,12,513,384
3,10,30,64.94,13,744,138
3,10,7,42.16,7,484,166
3,10,7,129.09,17,939,143
1,10,8,25.88,5,335,237
2,10,23,23.35,3,338,174
2,10,30,48.78,11,546,240
2,10,6,68.72,11,435,331
2,10,30,105.85,14,742,167
3,10,3,24.91,5,86393,642
1,10,1,22.15,5,146,393
2,10,16,40.03,6,446,151
1,10,30,101.68,17,896,146
1,10,30,102.76,19,925,263
1,10,13,76.14,11,634,167
1,10,14,26.25,4,252,282
3,10,7,128.52,19,1021,197
1,10,7,18.45,4,318,206
3,10,9,126.85,21,957,210
1,10,1,18.93,2,225,198
1,10,8,90.71,12,702,145
1,10,17,89.89,12,668,176
1,10,6,154.52,28,1344,141
3,10,30,51.7,6,500,157
3,10,6,98.58,16,915,198
2,10,10,64.46,9,576,150
3,10,30,59.71,9,523,230
3,10,30,123.83,15,767,304
1,10,25,11.87,2,177,313
2,10,30,13.64,3,299,208
1,10,13,13.77,3,197,280
2,10,30,33.16,4,298,250
1,10,8,30.55,5,334,278
3,10,30,39.98,8,434,171
2,10,7,7.97,2,86389,522
3,10,8,20.06,4,373,172
1,10,25,33.27,5,250,323
3,10,8,219.62,34,1619,158
3,10,5,45.11,6,445,138
2,10,30,10.88,2,276,169
3,10,14,24.46,4,344,181
1,10,11,32.01,5,147,450
2,10,9,138.37,25,1202,187
1,10,10,115.53,20,984,214
3,10,10,50.1,9,583,126
3,10,8,77.55,14,620,312
1,10,30,170.7,24,1148,158
3,10,30,188.98,30,1484,236
1,10,30,3.79,1,240,136
3,10,23,24.27,3,233,257
1,10,30,37.02,6,400,166
3,10,3,39.89,6,331,231
3,10,14,30.77,4,350,193
3,10,10,69.07,11,492,325
1,10,30,92.85,17,760,333
1,10,7,103.42,17,871,131
3,10,11,59.45,9,562,220
2,10,20,15.96,3,286,155
2,10,8,41.86,5,346,153
3,10,30,21.27,3,230,267
2,10,20,115.77,14,623,367
2,10,7,77.91,9,295,462
1,10,17,30.32,5,268,365
2,10,3,17.33,4,304,196
3,10,30,21.39,3,227,281
1,10,30,165.18,24,1187,179
3,10,7,62.15,11,614,218
2,10,15,73.3,14,869,163
1,10,15,78.55,10,433,378
1,10,14,112.15,9,327,492
2,10,30,36.42,7,399,291
2,10,30,47.43,7,487,152
3,10,15,123.38,20,824,279
1,10,26,62.82,7,429,195
3,10,7,32.2,6,357,216
2,10,30,80.27,12,703,201
1,10,23,26.93,5,320,186
1,10,30,78.21,16,643,360
2,10,13,91.09,12,675,208
3,10,2,13.48,2,161,278
1,10,11,156.62,22,1178,141
2,10,23,25.17,3,252,160
2,10,30,12.48,2,217,163
3,10,16,33.52,8,555,141
3,10,30,54.36,5,374,150
1,10,2,4.1,1,139,236
1,10,17,43.75,8,455,194
2,10,30,44.08,7,424,178
3,10,7,136.49,25,1258,132
3,10,30,32.86,4,169,368
1,10,3,33.67,7,435,180
1,10,30,7.99,1,241,161
1,10,4,90.88,13,535,365
3,10,8,43.25,8,503,159
3,10,1,39.44,5,338,223
1,10,27,171.06,25,1315,168
1,10,14,9.68,2,220,220
3,10,2,97.25,14,700,341
3,10,8,14.25,3,286,151
2,10,7,79.57,12,665,198
3,10,3,125.85,20,1029,134
2,10,30,32.12,8,560,154
3,10,16,175.76,22,1199,133
2,10,24,11.46,4,242,257
2,10,14,48.14,7,414,244
3,10,10,78.06,10,610,197
1,10,30,30.16,4,256,240
1,10,23,106.06,16,1001,126
1,10,12,292.73,46,2186,164
2,10,19,63.09,10,613,138
2,10,30,36.15,5,357,164
2,10,21,10.98,2,299,144
1,10,14,35.76,4,224,250
3,10,13,13.18,2,266,155
3,10,9,9.38,2,294,135
3,10,30,57.45,7,524,151
2,10,1,12.07,3,121,353
1,10,21,70.56,12,744,130
3,10,7,114.18,14,784,189
3,10,8,24.96,4,450,168
3,10,3,64.45,11,509,257
1,10,30,65.32,8,582,126
3,10,28,40.21,6,423,205
1,10,3,3.79,1,229,139
2,10,2,76.5,10,457,255
1,10,7,7.99,1,157,193
1,10,30,134.15,26,1166,233
3,10,15,96.53,15,756,211
1,10,6,49.59,7,522,131
2,10,14,191.32,19,825,379
2,10,16,43.57,7,463,197
3,10,30,106.19,15,728,256
1,10,15,81.92,13,703,155
1,10,3,51.05,10,531,224
2,10,18,66.43,9,669,125
3,10,18,13.88,2,121,262
2,10,30,69.7,12,672,139
2,10,30,37.9,3,250,135
3,10,17,12.95,3,62,366
3,10,30,150.76,24,1239,134
3,10,6,99.31,8,388,308
1,10,7,20.97,2,140,318
3,10,5,86.44,16,841,203
2,10,30,75.06,11,193,633
2,10,4,31.48,5,465,153
1,10,30,80.5,14,747,201
2,10,30,62.97,9,527,150
3,10,12,93.18,12,651,189
3,10,24,8.38,1,132,261
3,10,30,11.99,1,187,155
3,10,30,20.79,5,352,248
3,10,30,124.86,18,932,198
3,10,30,28.75,5,357,213
2,10,21,7.99,1,204,165
3,10,30,26.64,2,233,205
2,10,30,103.97,14,761,237
3,10,6,67.76,8,519,131
2,10,7,15.97,3,281,195
2,10,3,85.58,3,226,287
1,10,5,8.99,1,137,238
1,10,19,157.63,27,1265,173
3,10,7,91.18,18,924,126
3,10,1,62.1,9,628,133
3,10,27,5.99,1,147,228
3,10,27,199.87,34,1613,186
3,10,13,45.07,9,629,185
1,10,19,262.91,40,2046,133
2,11,30,31.65,4,104,394
1,11,14,87.2,14,462,487
3,11,30,256.21,30,1154,454
2,11,6,107.83,5,322,251
3,11,30,33.81,6,194,406
1,11,15,40.71,7,476,158
1,11,30,23.15,5,353,161
2,11,19,353.7,36,1745,202
2,11,30,42.63,5,336,199
1,11,19,5.99,1,106,260
2,11,19,47.01,7,359,337
3,11,10,39.85,7,406,283
2,11,26,103.87,14,795,160
2,11,8,16.12,4,225,281
3,11,13,74.85,12,374,506
3,11,28,24.86,3,267,155
2,11,9,28.31,5,365,180
3,11,19,19.26,4,313,202
3,11,10,64.51,8,461,268
2,11,30,24.83,4,378,152
1,11,30,18.27,2,112,304
2,11,20,54.63,9,575,175
3,11,13,57.0,8,531,207
1,11,22,137.67,19,931,228
1,11,30,80.33,11,673,153
1,11,10,47.06,7,506,225
3,11,30,4.89,1,130,271
3,11,2,60.43,7,262,399
1,11,10,138.52,22,1109,216
1,11,30,79.64,12,586,307
1,11,3,112.92,18,929,130
1,11,6,23.92,4,331,168
3,11,1,25.66,4,356,153
3,11,8,177.31,30,1448,200
1,11,30,31.86,4,327,177
3,11,8,27.98,2,316,143
2,11,16,62.07,10,564,171
1,11,30,91.65,15,844,171
1,11,6,112.4,18,996,142
2,11,2,32.51,6,461,156
2,11,6,10.99,1,209,165
3,11,9,64.93,12,421,435
1,11,3,15.75,3,323,138
3,11,30,54.29,6,412,173
1,11,30,103.94,16,765,233
3,11,9,15.98,3,363,132
3,11,9,108.31,15,752,231
1,11,19,13.17,2,235,201
1,11,5,54.37,12,737,160
3,11,10,91.52,9,591,180
1,11,30,12.48,2,254,157
1,11,30,39.41,6,392,223
2,11,8,36.72,6,296,314
2,11,30,150.21,24,1166,211
2,11,17,31.87,5,400,175
1,11,21,22.47,4,351,143
1,11,30,80.39,13,702,274
2,11,30,267.13,45,2097,143
1,11,6,39.06,5,276,317
1,11,30,118.84,17,983,156
3,11,30,66.1,10,545,224
3,11,13,96.38,11,644,171
1,11,30,13.33,3,283,163
3,11,0,66.54,9,619,185
3,11,27,38.6,7,496,169
1,11,20,32.83,6,315,234
2,11,28,77.09,11,483,340
1,11,6,219.3,28,1309,292
3,11,29,27.88,4,200,367
2,11,15,151.05,13,729,209
3,11,1,19.58,3,346,139
3,11,30,35.11,5,421,192
1,11,24,5.49,1,155,252
3,11,1,57.59,11,586,163
2,11,30,32.96,4,322,221
2,11,24,43.94,5,423,148
1,11,3,40.49,6,294,243
1,11,6,64.69,10,508,264
1,11,30,8.2,1,86288,519
2,11,0,103.1,15,852,155
1,11,30,14.9,2,126,280
3,11,7,24.84,5,223,267
1,11,6,128.81,19,994,177
1,11,7,52.31,8,459,154
1,11,19,40.46,8,516,125
2,11,11,130.63,21,1001,233
3,11,30,20.96,4,333,168
1,11,10,53.52,8,499,189
2,11,30,105.83,14,499,344
2,11,6,10.68,2,98,280
1,11,29,45.98,8,489,178
1,11,10,103.29,20,1032,249
1,11,30,39.31,7,431,236
3,11,5,120.53,17,759,240
1,11,13,41.16,7,432,204
2,11,25,92.43,4,347,158
3,11,15,41.83,6,409,150
2,11,0,31.03,5,350,182
1,11,30,41.84,7,593,153
3,11,30,22.55,3,204,298
3,11,15,89.29,12,646,184
1,11,30,102.13,16,752,245
3,11,11,27.95,5,368,225
3,11,3,34.62,5,463,183
1,11,9,10.96,2,196,232
1,11,7,108.98,18,947,186
1,11,5,44.83,6,500,154
1,11,14,140.51,20,1055,187
3,11,24,45.09,7,273,307
2,11,12,67.38,10,681,128
1,11,5,41.72,8,485,159
3,11,30,48.91,9,367,321
1,11,21,112.5,18,921,173
3,11,17,175.25,26,1029,412
1,11,2,5.28,2,196,262
3,11,30,87.92,16,866,203
2,11,30,6.49,1,164,182
1,11,16,40.32,7,407,247
2,11,8,47.14,7,393,174
3,11,21,13.87,2,345,194
2,11,12,129.55,20,983,259
3,11,30,52.26,7,578,136
3,11,17,83.12,14,764,261
1,11,30,35.91,6,394,140
1,11,20,113.59,12,665,265
1,11,30,25.81,6,282,319
3,11,0,24.46,4,86303,574
1,11,10,59.61,9,562,252
3,11,3,59.78,11,592,247
1,11,1,42.52,6,463,146
1,11,11,105.24,17,878,227
1,11,30,142.36,24,1093,273
2,11,1,77.05,13,709,222
2,11,19,30.04,6,311,296
1,11,17,62.22,11,613,188
1,11,30,81.44,13,585,345
1,11,11,158.39,23,1152,222
3,11,13,89.85,14,688,332
1,11,29,106.72,15,595,380
3,11,7,45.22,8,285,335
2,11,5,43.37,7,461,187
1,11,30,62.48,7,489,185
2,11,7,83.15,13,653,160
3,11,6,50.75,9,580,192
2,11,18,50.73,6,232,320
3,11,7,96.31,17,841,194
1,11,5,22.16,5,288,279
2,11,30,162.94,21,1173,197
2,11,4,59.01,8,293,416
1,11,30,36.13,6,392,161
3,11,30,19.26,4,338,187
1,11,22,180.8,27,1305,203
3,11,30,86.36,13,757,154
3,11,30,39.18,5,357,177
3,11,30,221.41,15,867,153
2,11,6,356.63,54,2530,223
3,11,5,81.39,13,741,154
1,11,6,92.82,15,728,284
1,11,22,8.55,2,205,226
2,11,6,61.36,9,533,255
3,11,15,65.54,11,680,191
3,11,30,98.75,13,730,139
1,11,30,181.24,26,1321,181
3,11,30,83.84,11,617,244
1,11,5,26.02,4,253,294
2,11,1,52.65,11,678,151
1,11,22,206.0,27,1341,199
3,11,2,38.75,6,319,280
1,11,21,100.44,17,806,303
2,11,30,24.97,3,280,224
1,11,15,64.83,11,644,182
2,11,8,22.75,4,221,323
3,11,3,35.05,4,347,182
1,11,30,90.13,13,701,270
1,11,30,20.47,3,310,206
2,11,20,41.93,7,513,151
1,11,7,48.8,7,427,255
3,11,30,60.01,10,579,188
3,11,8,24.63,4,257,307
3,11,12,21.74,5,324,259
1,11,7,43.85,9,513,170
3,11,9,45.75,6,283,361
3,11,20,4.19,1,198,214
1,11,15,17.75,3,288,171
2,11,7,85.75,11,578,223
1,11,30,98.61,14,683,251
2,11,25,26.98,6,388,222
3,11,5,94.34,14,702,288
1,11,30,74.73,13,769,151
1,11,30,340.57,49,2326,274
3,11,15,40.69,7,402,226
1,11,7,69.32,6,484,130
3,11,28,162.06,23,1119,177
1,11,5,48.2,6,358,308
2,11,8,256.42,37,1596,279
1,11,30,193.61,33,1540,258
1,11,30,99.33,16,849,173
2,11,7,117.93,19,820,324
3,11,9,73.57,11,572,332
2,11,5,97.71,13,716,152
3,11,26,33.28,4,215,293
1,11,18,114.45,19,958,187
3,11,6,62.52,9,558,157
3,11,7,62.77,9,182,633
3,11,2,66.22,12,499,373
2,11,5,89.53,16,867,185
1,11,30,177.6,22,1118,195
1,11,30,153.88,24,1171,269
1,11,30,52.22,7,504,210
3,11,7,40.34,6,356,268
2,11,1,28.71,2,264,192
3,11,1,19.67,3,267,230
1,11,7,68.89,12,710,158
3,11,7,34.63,4,366,156
2,11,30,74.88,9,367,455
2,11,15,98.44,20,1019,196
1,11,21,222.23,35,1584,270
2,11,5,21.47,3,133,389
1,11,7,101.0,16,540,484
3,11,30,51.12,6,409,250
2,11,30,31.96,4,296,192
1,11,3,18.37,3,201,234
1,11,30,9.14,2,264,165
1,11,7,63.04,10,600,144
1,11,12,93.65,16,862,187
2,11,11,16.5,3,274,167
1,11,7,29.3,5,422,141
2,11,7,24.95,4,355,216
3,11,30,71.9,10,571,219
1,11,12,149.14,24,1092,210
1,11,14,71.31,8,347,344
3,11,30,30.43,5,272,331
3,11,17,24.88,4,403,160
3,11,30,57.85,7,455,191
1,11,14,83.56,14,651,286
2,11,30,36.27,3,298,198
3,11,21,54.78,7,480,222
1,11,9,53.51,7,446,164
1,11,30,89.91,10,625,166
2,11,4,55.1,6,276,372
1,11,30,36.64,5,329,258
3,11,24,15.17,3,153,414
1,11,30,151.64,17,827,278
3,11,9,105.41,21,1092,141
1,11,14,13.85,2,242,183
1,11,4,199.08,33,1542,160
2,11,14,64.35,8,294,377
1,11,30,26.73,6,481,171
3,11,13,59.38,10,404,334
1,11,21,151.18,19,905,250
3,11,30,72.7,15,816,159
3,11,30,19.47,3,320,150
1,11,4,39.74,6,474,156
3,11,7,38.12,6,288,281
3,11,8,127.07,16,816,201
3,11,30,26.55,5,6,650
3,11,1,64.62,9,485,226
3,11,7,156.98,26,1251,278
3,11,9,21.74,4,410,159
3,11,20,88.91,16,917,157
3,11,18,108.24,16,882,208
3,11,7,69.02,12,618,245
3,11,30,60.97,9,580,146
3,11,30,58.31,9,446,237
1,11,11,65.21,10,453,300
1,11,13,66.85,10,548,275
3,11,2,56.16,8,387,297
3,11,30,38.62,6,423,167
1,11,6,25.22,5,361,138
1,11,0,33.95,5,404,139
2,11,30,53.3,7,494,214
3,11,30,60.41,13,738,213
2,11,10,20.54,3,278,158
1,11,20,93.44,14,794,131
1,11,15,15.77,3,253,202
3,11,30,18.97,3,203,271
1,11,6,43.03,7,402,277
2,11,30,29.51,5,372,204
3,11,12,70.37,7,438,169
3,11,30,46.12,8,602,136
1,11,1,70.43,11,544,229
2,11,30,37.43,5,333,275
3,11,30,83.62,13,891,129
3,11,7,50.93,6,390,161
1,11,6,97.51,13,789,136
3,11,30,40.19,7,449,151
1,11,2,49.8,9,476,207
1,11,14,32.04,8,436,207
3,11,4,25.98,2,270,178
3,11,30,72.9,10,554,217
1,11,30,46.96,8,454,185
2,11,23,85.24,12,601,230
1,11,30,31.35,4,220,325
3,11,26,47.26,10,546,138
1,11,14,49.95,8,532,145
3,11,30,26.56,2,131,298
2,11,30,38.43,6,384,164
3,11,30,6.98,2,205,224
3,11,0,13.48,2,217,210
3,11,5,152.45,20,957,299
2,11,30,56.05,9,634,130
1,11,30,7.99,1,165,205
3,11,30,78.74,12,559,279
3,11,30,12.31,2,209,183
2,11,30,109.16,17,903,164
2,11,30,41.17,9,525,128
3,11,5,12.25,1,201,149
3,11,30,126.16,17,972,142
1,11,7,83.92,16,892,197
1,11,4,88.74,15,793,179
2,11,25,10.97,2,205,174
1,11,30,88.38,17,708,340
2,11,7,2.99,1,86325,444
2,11,30,35.92,4,292,226
3,11,21,59.81,5,327,254
1,11,10,3.49,1,166,187
1,11,6,148.62,20,976,223
3,11,30,115.79,16,796,248
1,11,4,175.01,26,1334,163
2,11,25,81.68,14,599,370
1,11,28,30.85,5,280,190
3,11,30,135.25,19,868,283
1,11,29,116.17,20,1001,149
1,11,14,5.76,1,161,186
1,11,7,43.49,6,297,277
3,11,12,61.86,10,559,191
3,11,7,22.17,3,279,143
2,11,30,13.38,2,189,217
1,11,30,42.94,5,524,126
1,11,17,192.82,29,1422,138
1,11,8,120.66,20,973,214
2,11,0,20.47,3,225,214
3,11,13,25.53,4,434,173
1,11,7,46.68,7,240,299
3,11,30,64.79,10,603,219
3,11,18,53.32,7,267,294
3,11,24,111.0,17,882,168
3,11,30,84.79,15,623,281
1,11,7,97.29,13,659,245
1,11,16,3.56,1,242,156
3,11,28,27.44,5,481,134
1,11,28,94.53,15,844,182
3,11,8,8.99,1,243,171
1,11,14,63.54,10,476,344
2,11,7,242.03,31,1451,215
3,11,2,117.84,16,834,234
3,11,30,11.44,2,77,334
3,11,23,47.95,8,543,126
2,11,8,31.53,7,348,297
3,11,30,48.54,10,671,142
1,11,30,58.11,10,587,190
1,11,23,135.87,21,1357,130
3,11,11,239.3,35,1714,146
3,11,6,63.41,9,337,413
2,11,30,7.88,2,277,153
3,11,7,69.82,9,459,283
3,11,7,74.67,10,556,190
1,11,7,96.71,13,738,166
2,11,0,18.78,2,204,227
2,11,30,38.5,7,525,134
3,11,6,27.57,5,375,209
3,11,11,9.99,1,260,155
2,11,7,4.29,1,87,317
3,11,7,68.59,11,353,462
2,11,30,72.8,11,728,168
3,11,25,16.16,3,323,132
3,11,15,32.08,3,259,189
3,11,5,146.58,17,1009,165
1,11,30,30.71,5,261,299
3,11,29,44.57,7,492,125
1,11,30,64.09,8,469,184
1,11,8,67.86,12,691,153
1,11,15,39.79,10,602,274
3,11,21,96.36,12,855,134
1,11,21,18.13,3,279,207
3,11,7,19.55,3,261,197
2,11,27,30.48,6,397,189
1,11,4,50.19,8,497,180
3,11,13,226.35,42,1945,277
2,11,30,116.69,18,552,454
1,11,12,105.32,15,787,178
2,11,26,32.98,4,384,125
3,12,30,184.01,29,1480,156
3,12,12,167.68,24,1169,243
3,12,30,167.21,26,1108,368
3,12,30,100.69,15,768,244
1,12,28,64.84,12,665,164
1,12,30,14.96,4,321,193
3,12,2,46.92,7,407,266
2,12,19,16.86,3,276,140
3,12,4,29.41,5,330,155
1,12,14,62.41,10,447,275
2,12,30,80.27,12,537,250
2,12,30,37.97,4,317,162
1,12,30,31.96,4,247,225
2,12,14,9.93,2,183,268
3,12,30,26.15,4,297,245
2,12,30,42.63,6,123,473
2,12,7,185.56,31,1425,223
1,12,30,7.78,2,203,235
3,12,30,94.27,17,634,336
1,12,30,111.81,20,976,167
1,12,21,114.57,21,1008,250
2,12,30,28.83,5,319,293
1,12,6,66.49,11,602,200
3,12,30,97.36,13,243,598
3,12,12,4.19,1,118,285
3,12,30,38.64,6,363,230
1,12,28,7.15,3,329,173
1,12,30,19.98,2,215,252
3,12,30,78.11,12,707,225
3,12,30,56.04,7,192,415
3,12,30,132.86,19,1003,159
3,12,5,10.96,2,343,141
3,12,3,7.99,1,197,189
3,12,30,43.82,6,446,130
1,12,7,91.39,14,723,197
2,12,19,49.16,9,470,244
1,12,30,85.16,10,330,464
1,12,14,85.76,13,718,158
3,12,30,15.74,4,359,179
3,12,30,4.57,1,250,164
1,12,30,25.05,5,398,171
1,12,30,125.45,16,816,241
3,12,11,64.36,10,590,135
2,12,30,143.51,23,1058,271
3,12,6,72.26,14,714,230
1,12,7,92.89,13,699,175
1,12,30,76.37,9,531,170
3,12,6,78.06,13,686,229
1,12,6,33.96,4,238,294
1,12,4,55.43,7,243,356
3,12,6,178.73,25,1253,149
1,12,30,26.6,4,439,181
3,12,30,8.79,1,406,140
1,12,2,84.71,11,473,372
3,12,10,155.78,24,1082,273
1,12,5,18.43,2,360,184
1,12,30,78.47,12,657,175
2,12,10,79.11,12,568,387
1,12,15,80.15,11,724,143
2,12,30,65.32,7,397,283
2,12,30,51.17,9,459,264
1,12,22,96.42,10,545,252
3,12,2,150.97,24,1109,216
3,12,30,35.25,5,295,319
3,12,7,50.28,8,501,144
1,12,30,39.23,7,350,306
3,12,2,77.53,12,649,180
1,12,7,114.36,15,815,207
1,12,7,61.31,8,493,200
2,12,5,35.24,6,390,209
3,12,30,64.01,11,672,239
3,12,6,50.36,8,477,172
2,12,19,21.77,4,290,225
2,12,30,56.97,9,554,201
3,12,20,21.16,4,384,127
1,12,30,15.74,3,249,159
3,12,30,28.53,5,319,254
1,12,23,77.76,15,694,291
1,12,30,70.48,9,452,274
1,12,3,85.52,13,735,162
3,12,30,12.56,2,183,287
3,12,7,86.07,14,739,132
3,12,7,70.61,11,618,257
